Year,Company,Chip,Node_nm,Transistors_B,Die_Size_mm2,TDP_W,Peak_TFLOPS_FP16,Power_Density_W_mm2,TFLOPS_per_Watt
2015,Google,TPU v1,28,4.0,331,40,92.0,0.12,2.3
2017,Google,TPU v2,16,8.5,600,280,45.0,0.47,0.16
2018,Google,TPU v3,16,10.5,700,450,90.0,0.64,0.2
2021,Google,TPU v4,7,22.0,600,175,275.0,0.29,1.57
2023,Google,TPU v5p,4,45.0,800,400,918.0,0.5,2.29
2016,NVIDIA,P100,16,15.3,610,300,21.2,0.49,0.07
2017,NVIDIA,V100,12,21.1,815,300,125.0,0.37,0.42
2020,NVIDIA,A100,7,54.2,826,400,312.0,0.48,0.78
2022,NVIDIA,H100,4,80.0,814,700,1979.0,0.86,2.83
2024,NVIDIA,B200,4,208.0,1600,1000,4500.0,0.62,4.5
2020,AMD,MI100,7,25.6,750,300,184.6,0.4,0.62
2021,AMD,MI250X,6,58.2,1560,560,383.0,0.36,0.68
2023,AMD,MI300X,5,153.0,1017,750,1300.0,0.74,1.73
2019,Cerebras,WSE-1,16,1200.0,46225,15000,4000.0,0.32,0.27
2021,Cerebras,WSE-2,7,2600.0,46225,15000,8000.0,0.32,0.53
2024,Cerebras,WSE-3,5,4000.0,46225,23000,125000.0,0.5,5.43
2019,Intel,Gaudi 1,16,10.0,600,300,64.0,0.5,0.21
2022,Intel,Gaudi 2,7,48.0,800,600,430.0,0.75,0.72
2024,Intel,Gaudi 3,5,96.0,1200,900,1835.0,0.75,2.04
