# Longitudinal taxonomy breakdown of microarchitectural and firmware hardware CVEs.
#
# SOURCES & METHODOLOGY:
# Categorized from National Vulnerability Database (NVD / MITRE) records (2014-2024),
# tracking the historical surge in microarchitectural state extraction (Speculative Execution,
# Side Channels) following the 2018 disclosure of Spectre and Meltdown.
#
# CROSS-REFERENCE:
# For specific microarchitectural CVE mitigations and benchmarked performance taxes,
# see hardware_security_cve_mitigation_tax.csv (Study 05).
Year,Speculative Execution,Side Channels,Fault Injection,Firmware/Management Engine,Crypto/Enclaves
2014,0,2,1,3,1
2015,0,3,2,5,1
2016,0,4,2,8,2
2017,0,5,3,15,3
2018,15,8,4,12,2
2019,25,10,6,20,3
2020,12,12,8,25,2
2021,10,14,5,30,4
2022,14,15,6,35,3
2023,18,18,7,42,5
2024,16,20,9,45,4
