# Assumed execution times for a constructed comparison of checking costs.
#
# SOURCES & METHODOLOGY:
# Author-selected teaching values for linting, RTL simulation, and physical
# place-and-route across illustrative code changes. No runtimes were measured.
# The original numeric values are retained; they establish no complexity law.
#
# LIMITATIONS:
# Changed lines of code do not determine design complexity or checking cost.
# Actual runtimes depend on the design, checks, algorithms, and resources.
pr_complexity_loc,ci_stage,execution_time_minutes
12,Lint,2
12,Sim,15
12,PnR,65
45,Lint,3
45,Sim,18
45,PnR,75
85,Lint,3
85,Sim,22
85,PnR,90
250,Lint,4
250,Sim,45
250,PnR,150
520,Lint,5
520,Sim,65
520,PnR,220
890,Lint,5
890,Sim,75
890,PnR,290
1200,Lint,6
1200,Sim,90
1200,PnR,380
2500,Lint,7
2500,Sim,110
2500,PnR,540
4800,Lint,8
4800,Sim,140
4800,PnR,720
