# Stylized Pareto mutation survival curve vs constrained-random simulation compute hours.
#
# SOURCES & METHODOLOGY:
# Analytical Pareto model illustrating the diminishing returns of brute-force randomized
# simulation in hardware verification (mutation survival decaying toward an asymptotic floor
# of ~5% without formal or directed intervention).
#
# LIMITATIONS:
# This file represents an illustrative model, not a single hardware test run.
# For empirical mutation testing measurements on RISC-V cores, see
# chapter7-testbench-vacuity-mutation.csv (Herdt et al., ASPDAC 2021).
Simulation_Compute_Hours,Mutation_Survival_Rate_Pct
10,98.5
50,82.5
100,63.2
250,41.5
500,27.8
1000,18.4
2500,10.6
5000,7.1
10000,5.3
20000,4.8
