# Illustrative reinforcement learning convergence curve vs simulated annealing in macro placement.
#
# SOURCES & METHODOLOGY:
# Stylized trajectory modeled on the published convergence dynamics of deep reinforcement
# learning for chip macro placement (mirrors AlphaChip / Mirhoseini et al., Nature 2021).
# Tracks proxy PPA cost (wirelength + congestion) over 50 GPU training hours against
# simulated annealing and a static human expert baseline.
#
# LIMITATIONS:
# Illustrative learning curve, not a recorded physical place-and-route trial log.
# For measured physical design dispersion runs in OpenROAD, see
# data/studies/06-eda-seed-dispersion/openroad_gcd_placement_seed_pilot.csv.
Training_Hours,Human_Baseline,Simulated_Annealing,RL_Agent
1,0.85,1.0871,0.9968
2,0.85,1.072,0.9411
3,0.85,1.0621,0.92
4,0.85,1.0535,0.8897
5,0.85,1.038,0.8676
6,0.85,1.0285,0.8595
7,0.85,1.0252,0.8496
8,0.85,1.0147,0.8394
9,0.85,1.0036,0.8213
10,0.85,0.9999,0.8187
11,0.85,0.9906,0.818
12,0.85,0.9848,0.8183
13,0.85,0.9816,0.8068
14,0.85,0.9703,0.8064
15,0.85,0.9664,0.7992
16,0.85,0.9658,0.7974
17,0.85,0.9606,0.8084
18,0.85,0.9611,0.8109
19,0.85,0.9542,0.8017
20,0.85,0.9498,0.8077
21,0.85,0.9557,0.8035
22,0.85,0.9481,0.7972
23,0.85,0.9467,0.803
24,0.85,0.9401,0.8098
25,0.85,0.9408,0.8003
26,0.85,0.941,0.8098
27,0.85,0.9355,0.7846
28,0.85,0.9386,0.8052
29,0.85,0.9343,0.8007
30,0.85,0.9339,0.7983
31,0.85,0.9318,0.8007
32,0.85,0.9381,0.7882
33,0.85,0.9315,0.7987
34,0.85,0.9274,0.8022
35,0.85,0.9322,0.8089
36,0.85,0.9253,0.7969
37,0.85,0.9289,0.7952
38,0.85,0.9217,0.797
39,0.85,0.923,0.8055
40,0.85,0.927,0.802
41,0.85,0.9281,0.7968
42,0.85,0.9259,0.8031
43,0.85,0.9247,0.8006
44,0.85,0.9237,0.8058
45,0.85,0.9198,0.7958
46,0.85,0.9217,0.798
47,0.85,0.9222,0.7976
48,0.85,0.9265,0.7912
