# Published interconnect specifications: bandwidth density vs energy efficiency.
#
# SOURCES & METHODOLOGY:
# Transcribed from published industry specifications and technical whitepapers:
# - UCIe Consortium: Universal Chiplet Interconnect Express (UCIe) 1.0/2.0 Specification
# - Open Compute Project (OCP): Bunch of Wires (BoW) PHY Specification
# - NVIDIA Corp.: NVLink 4 / NVLink 5 Architecture Whitepapers & C2C Specification
# - PCI-SIG: PCI Express Base Specification Revision 5.0 / 6.0
# - Optical Internetworking Forum (OIF): Co-Packaged Optics (CPO) Framework
Interconnect,Type,Bandwidth_Density_Tbps_mm,Energy_Efficiency_pJ_bit
UCIe (Advanced Packaging),Die-to-Die,3.15,0.25
UCIe (Standard 2D),Die-to-Die,0.24,0.5
NVLink C2C,Die-to-Die,1.3,1.3
Bunch of Wires,Die-to-Die,1.0,0.5
NVLink 4 (Hopper),Pkg-to-Pkg,0.5,5.0
NVLink 5 (Blackwell),Pkg-to-Pkg,1.0,4.0
PCIe Gen 5,Board-Level,0.05,10.0
PCIe Gen 6,Board-Level,0.1,10.0
Pluggable Optics 800G,Optical,0.1,15.0
Co-Packaged Optics,Optical,1.5,2.5
