timestamp_utc,dimension,category,entity,metric_key,metric_name,raw_value,unit,query_string,source_url,source_citation,notes
2026-08-22T16:08:23Z,Code Volume & File Scale,Software,JavaScript,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,1115.42,GB,The Stack v2 language=JavaScript,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",108.87M deduplicated source files
2026-08-22T16:08:23Z,Repository Scale,Software,JavaScript,github_total_repositories,Total Public Repositories on GitHub,46659568,repositories,"language:""JavaScript""",https://api.github.com/search/repositories?q=language%3A%22JavaScript%22,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Community Traction (Stars >= 10),Software,JavaScript,github_stars_ge_10_repositories,Repositories with Stars >= 10,345296,repositories,"language:""JavaScript"" stars:>=10",https://api.github.com/search/repositories?q=language%3A%22JavaScript%22+stars%3A%3E%3D10,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Software,JavaScript,github_active_recent_repositories,Repositories Updated in 2025-2026,15218712,repositories,"language:""JavaScript"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22JavaScript%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Code Volume & File Scale,Software,Java,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,548.0,GB,The Stack v2 language=Java,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",154.28M deduplicated source files
2026-08-22T16:08:23Z,Repository Scale,Software,Java,github_total_repositories,Total Public Repositories on GitHub,21469529,repositories,"language:""Java""",https://api.github.com/search/repositories?q=language%3A%22Java%22,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Community Traction (Stars >= 10),Software,Java,github_stars_ge_10_repositories,Repositories with Stars >= 10,149608,repositories,"language:""Java"" stars:>=10",https://api.github.com/search/repositories?q=language%3A%22Java%22+stars%3A%3E%3D10,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Software,Java,github_active_recent_repositories,Repositories Updated in 2025-2026,5030465,repositories,"language:""Java"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22Java%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Code Volume & File Scale,Software,C++,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,353.89,GB,The Stack v2 language=C++,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",43.18M deduplicated source files
2026-08-22T16:08:23Z,Repository Scale,Software,C++,github_total_repositories,Total Public Repositories on GitHub,7026021,repositories,"language:""C++""",https://api.github.com/search/repositories?q=language%3A%22C++%22,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Community Traction (Stars >= 10),Software,C++,github_stars_ge_10_repositories,Repositories with Stars >= 10,146355,repositories,"language:""C++"" stars:>=10",https://api.github.com/search/repositories?q=language%3A%22C++%22+stars%3A%3E%3D10,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Software,C++,github_active_recent_repositories,Repositories Updated in 2025-2026,2175880,repositories,"language:""C++"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22C++%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Code Volume & File Scale,Software,Python,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,233.29,GB,The Stack v2 language=Python,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",56.93M deduplicated source files
2026-08-22T16:08:23Z,Repository Scale,Software,Python,github_total_repositories,Total Public Repositories on GitHub,32670742,repositories,"language:""Python""",https://api.github.com/search/repositories?q=language%3A%22Python%22,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
