version,organization,system,benchmark,samples_per_sec,tokens_per_sec,valid,log_url
v4.1,AMD,1xMI300X_2xEPYC-9374F,llama2-70b-99.9,10.4445,3062.72,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/AMD/results/1xMI300X_2xEPYC-9374F/llama2-70b-99.9/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,AMD,1xMI300X_2xEPYC-9374F,llama2-70b-99,10.4445,3062.72,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/AMD/results/1xMI300X_2xEPYC-9374F/llama2-70b-99/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,AMD,8xMI300X_2xEPYC-9374F,llama2-70b-99.9,80.15,23514.8,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/AMD/results/8xMI300X_2xEPYC-9374F/llama2-70b-99.9/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,AMD,8xMI300X_2xEPYC-9374F,llama2-70b-99,80.15,23514.8,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/AMD/results/8xMI300X_2xEPYC-9374F/llama2-70b-99/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,AMD,8xMI300X_2xEPYC-TURIN,llama2-70b-99.9,82.1782,24109.8,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/AMD/results/8xMI300X_2xEPYC-TURIN/llama2-70b-99.9/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,AMD,8xMI300X_2xEPYC-TURIN,llama2-70b-99,82.1782,24109.8,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/AMD/results/8xMI300X_2xEPYC-TURIN/llama2-70b-99/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,Google,DGX-H100_H100-SXM-80GBx8_TRT,3d-unet-99.9,51.3841,,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/Google/results/DGX-H100_H100-SXM-80GBx8_TRT/3d-unet-99.9/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,Google,DGX-H100_H100-SXM-80GBx8_TRT,3d-unet-99,51.3841,,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/Google/results/DGX-H100_H100-SXM-80GBx8_TRT/3d-unet-99/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,Google,DGX-H100_H100-SXM-80GBx8_TRT,dlrm-v2-99.9,375565.0,,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/Google/results/DGX-H100_H100-SXM-80GBx8_TRT/dlrm-v2-99.9/Offline/performance/run_1/mlperf_log_summary.txt
v4.1,Google,DGX-H100_H100-SXM-80GBx8_TRT,llama2-70b-99.9,83.1875,24133.7,True,https://raw.githubusercontent.com/mlcommons/inference_results_v4.1/main/closed/Google/results/DGX-H100_H100-SXM-80GBx8_TRT/llama2-70b-99.9/Offline/performance/run_1/mlperf_log_summary.txt
