corpus_category,dataset_name,repository_url,repository_commit,source_path,source_sha256,module_name,clean_loc,concrete_syntax_nodes,concrete_syntax_depth,syntax_diagnostic_count,syntax_diagnostic_codes,syntax_tree_valid,event_control_signal_count,clock_like_event_signal_count,clock_like_event_signals,recognized_cdc_primitive_mentions,hierarchy_instantiation_count,resolved_internal_submodule_instantiations,ambiguous_internal_submodule_instantiations,internal_hierarchy_depth,extraction_timestamp
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Accumulator/accu/verified_accu.v,67067237d33fa00128ceb7f60c3139cc1daae46d5c4af1d3e0ba140e63846fa2,verified_accu,61,530,13,1,DiagCode(NewlineEOF),1,1,1,clk,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_16bit/verified_adder_16bit.v,3ee85639497d6a85eeec48faea60a5aa47fc6bdeaa48066fb135602f11d92275,add1,10,216,11,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_16bit/verified_adder_16bit.v,3ee85639497d6a85eeec48faea60a5aa47fc6bdeaa48066fb135602f11d92275,add2,23,240,9,1,DiagCode(NewlineEOF),1,0,0,,0,2,2,0,2,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_16bit/verified_adder_16bit.v,3ee85639497d6a85eeec48faea60a5aa47fc6bdeaa48066fb135602f11d92275,add4,23,258,9,1,DiagCode(NewlineEOF),1,0,0,,0,2,2,0,3,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_16bit/verified_adder_16bit.v,3ee85639497d6a85eeec48faea60a5aa47fc6bdeaa48066fb135602f11d92275,add8,23,258,9,1,DiagCode(NewlineEOF),1,0,0,,0,2,2,0,4,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_16bit/verified_adder_16bit.v,3ee85639497d6a85eeec48faea60a5aa47fc6bdeaa48066fb135602f11d92275,verified_adder_16bit,23,258,9,1,DiagCode(NewlineEOF),1,0,0,,0,2,2,0,5,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_32bit/verified_adder_32bit.v,a5529a8fe85748de646ebf34da72cd9fdc5457f706101b3c77fd7f17ef26d57a,CLA,8,289,9,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_32bit/verified_adder_32bit.v,a5529a8fe85748de646ebf34da72cd9fdc5457f706101b3c77fd7f17ef26d57a,CLA_16,50,724,9,1,DiagCode(NewlineEOF),1,0,0,,0,4,4,0,3,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_32bit/verified_adder_32bit.v,a5529a8fe85748de646ebf34da72cd9fdc5457f706101b3c77fd7f17ef26d57a,adder,6,98,7,1,DiagCode(NewlineEOF),1,0,0,,0,0,0,0,1,2026-08-25T21:44:32.712049+00:00
AI benchmark reference RTL,RTLLM,https://github.com/hkust-zhiyao/RTLLM,51ed553d0ffd32797a1a0a13e051656bf302c81f,Arithmetic/Adder/adder_32bit/verified_adder_32bit.v,a5529a8fe85748de646ebf34da72cd9fdc5457f706101b3c77fd7f17ef26d57a,adder_4,62,835,9,1,DiagCode(NewlineEOF),1,0,0,,0,5,5,0,2,2026-08-25T21:44:32.712049+00:00
