processor_codename,vendor,family,segment,launch_year,process_node_nm,transistor_count_billion,die_topology,total_errata_count,microcode_chicken_bit_count,microcode_pct,silicon_respin_count,silicon_respin_pct,doc_waiver_no_fix_count,doc_waiver_pct,software_workaround_count,software_workaround_pct,steppings_characterized_count,source_doc_id,source_doc_date,source_doc_url,extraction_timestamp
Broadwell-EP,Intel,Xeon E5 v4,Server,2016,14.0,7.2,Monolithic,103,36,35.0,0,0.0,55,53.4,12,11.7,2,334165-007US,May 2023,https://cdrdv2.intel.com/v1/dl/getContent/334165,2026-08-22T16:11:31.707216+00:00
Skylake-SP,Intel,Xeon Scalable 1st Gen,Server,2017,14.0,8.5,Monolithic,116,25,21.6,0,0.0,77,66.4,14,12.1,3,336065-017US,October 2020,https://cdrdv2.intel.com/v1/dl/getContent/336065,2026-08-22T16:11:31.707216+00:00
Cascade Lake,Intel,Xeon Scalable 2nd Gen,Server,2019,14.0,8.5,Monolithic,75,30,40.0,0,0.0,39,52.0,6,8.0,3,338848-016US,October 2023,https://cdrdv2.intel.com/v1/dl/getContent/338848,2026-08-22T16:11:31.707216+00:00
Ice Lake-SP,Intel,Xeon Scalable 3rd Gen,Server,2021,10.0,13.0,Monolithic,177,45,25.4,0,0.0,104,58.8,28,15.8,3,637780-008US,March 2026,https://cdrdv2.intel.com/v1/dl/getContent/637780,2026-08-22T16:11:31.707216+00:00
Sapphire Rapids,Intel,Xeon Scalable 4th Gen,Server,2023,7.0,26.0,Multi-Die EMIB (4x Tile),165,16,9.7,0,0.0,106,64.2,43,26.1,3,772415-022US,August 2026,https://cdrdv2.intel.com/v1/dl/getContent/772415,2026-08-22T16:11:31.707216+00:00
Emerald Rapids,Intel,Xeon Scalable 5th Gen,Server,2023,7.0,30.0,Multi-Die EMIB (2x Tile),159,15,9.4,0,0.0,103,64.8,41,25.8,2,793902-008US,July 2026,https://cdrdv2.intel.com/v1/dl/getContent/793902,2026-08-22T16:11:31.707216+00:00
Coffee Lake,Intel,Core 8th/9th Gen,Client,2017,14.0,3.0,Monolithic,157,25,15.9,0,0.0,102,65.0,30,19.1,4,337346-015US,November 2025,https://cdrdv2.intel.com/v1/dl/getContent/337346,2026-08-22T16:11:31.707216+00:00
Ice Lake-U / Comet Lake,Intel,Core 10th Gen,Client,2019,10.0,4.0,Monolithic,92,16,17.4,0,0.0,64,69.6,12,13.0,2,341079-011US,April 2026,https://cdrdv2.intel.com/v1/dl/getContent/341079,2026-08-22T16:11:31.707216+00:00
Rocket Lake,Intel,Core 11th Gen S,Client,2021,14.0,6.0,Monolithic,36,6,16.7,0,0.0,26,72.2,4,11.1,1,634808-005US,April 2023,https://cdrdv2.intel.com/v1/dl/getContent/634808,2026-08-22T16:11:31.707216+00:00
Tiger Lake,Intel,Core 11th Gen Mobile,Client,2020,10.0,5.5,Monolithic,75,19,25.3,0,0.0,43,57.3,13,17.3,3,631123-010US,April 2026,https://cdrdv2.intel.com/v1/dl/getContent/631123,2026-08-22T16:11:31.707216+00:00
Alder Lake,Intel,Core 12th Gen,Client,2021,7.0,8.0,Monolithic (P+E Hybrid),93,19,20.4,0,0.0,62,66.7,12,12.9,4,682436-037US,August 2026,https://cdrdv2.intel.com/v1/dl/getContent/682436,2026-08-22T16:11:31.707216+00:00
Raptor Lake,Intel,Core 13th/14th Gen,Client,2022,7.0,10.5,Monolithic (P+E Hybrid),79,13,16.5,0,0.0,56,70.9,10,12.7,3,740518-019US,August 2026,https://cdrdv2.intel.com/v1/dl/getContent/740518,2026-08-22T16:11:31.707216+00:00
Meteor Lake,Intel,Core Ultra 1st Gen,Client,2023,4.0,22.0,3D Foveros (4-Tile Disaggregated),82,18,22.0,0,0.0,58,70.7,6,7.3,3,792254-009US,August 2026,https://cdrdv2.intel.com/v1/dl/getContent/792254,2026-08-22T16:11:31.707216+00:00
Lunar Lake,Intel,Core Ultra 2nd Gen V,Client,2024,3.0,24.0,3D Foveros (Compute+Platform+Mem),71,15,21.1,0,0.0,54,76.1,2,2.8,2,827538-003US,August 2026,https://cdrdv2.intel.com/v1/dl/getContent/827538,2026-08-22T16:11:31.707216+00:00
Arrow Lake,Intel,Core Ultra 200S,Client,2024,3.0,26.0,3D Foveros (5-Tile Disaggregated),75,17,22.7,0,0.0,55,73.3,3,4.0,2,834774-001US,August 2026,https://cdrdv2.intel.com/v1/dl/getContent/834774,2026-08-22T16:11:31.707216+00:00
Zen 1 (Naples),AMD,EPYC 7001 / Ryzen 1000,Server/Client,2017,14.0,19.2,Multi-Die MCM (4x Zeppelin),71,1,1.4,0,0.0,57,80.3,13,18.3,2,55449 Rev 1.21,August 2023,https://docs.amd.com/api/khub/documents/abOrVU_gcO7ZsC3qDF4uNQ/content,2026-08-22T16:11:31.707216+00:00
Zen 2 (Rome),AMD,EPYC 7002 / Ryzen 3000,Server/Client,2019,7.0,32.0,Chiplet (8x CCD + 1x cIOD),46,1,2.2,0,0.0,40,87.0,5,10.9,2,56323 Rev 1.15,February 2026,https://docs.amd.com/api/khub/documents/V2_PYRjhtUCkuQy_LbO5Zg/content,2026-08-22T16:11:31.707216+00:00
Zen 4 (Genoa),AMD,EPYC 9004,Server,2022,5.0,90.0,Chiplet (12x CCD + 1x sIOD),57,7,12.3,0,0.0,43,75.4,7,12.3,2,57926 Rev 1.09,November 2025,https://docs.amd.com/api/khub/documents/aBaGVEhC_kN7n61TYp_76A/content,2026-08-22T16:11:31.707216+00:00
Zen 5 (Turin),AMD,EPYC 9005,Server,2024,4.0,120.0,Chiplet (16x CCD + 1x sIOD),42,11,26.2,0,0.0,29,69.0,2,4.8,2,58730 Rev 1.03,July 2025,https://docs.amd.com/api/khub/documents/l7TodT1HuS0vIc3~4AgUvw/content,2026-08-22T16:11:31.707216+00:00
