Source_Project,Target_Dependency,Dependency_Type,Year_Integrated
Caravel,PicoRV32,IP Core,2020
Caravel,VexRiscv,IP Core,2021
Caravel,Sky130,PDK,2020
Caravel,OpenLane,EDA Toolchain,2020
OpenLane,OpenROAD,EDA Tool,2020
OpenLane,Yosys,EDA Tool,2020
OpenLane,Magic,EDA Tool,2020
Chipyard,Rocket,IP Core,2019
Chipyard,BOOM,IP Core,2019
Chipyard,CVA6,IP Core,2019
Pulpissimo,Ibex,IP Core,2018
OpenROAD,Yosys,EDA Tool,2019
Edalize,Yosys,EDA Tool,2018
LiteX,VexRiscv,IP Core,2018
Rocket,Chisel,Hardware Construction Language,2011
BOOM,Chisel,Hardware Construction Language,2014
