Year,Category,Count,SharePercentage
1973,Domain Accelerators & AI,0,0.0
1973,Memory Hierarchy,0,0.0
1973,Multicore & Coherence,0,0.0
1973,Software/Compilers,11,27.5
1973,Verification/Tools,0,0.0
1973,CPU Microarchitecture,29,72.5
1974,Domain Accelerators & AI,0,0.0
1974,Memory Hierarchy,2,8.7
1974,Multicore & Coherence,0,0.0
1974,Software/Compilers,2,8.7
1974,Verification/Tools,0,0.0
1974,CPU Microarchitecture,19,82.61
1975,Domain Accelerators & AI,0,0.0
1975,Memory Hierarchy,0,0.0
1975,Multicore & Coherence,0,0.0
1975,Software/Compilers,0,0.0
1975,Verification/Tools,0,0.0
1975,CPU Microarchitecture,14,100.0
1977,Domain Accelerators & AI,0,0.0
1977,Memory Hierarchy,0,0.0
1977,Multicore & Coherence,0,0.0
1977,Software/Compilers,0,0.0
1977,Verification/Tools,0,0.0
1977,CPU Microarchitecture,10,100.0
1978,Domain Accelerators & AI,0,0.0
1978,Memory Hierarchy,0,0.0
1978,Multicore & Coherence,0,0.0
1978,Software/Compilers,0,0.0
1978,Verification/Tools,1,1.85
1978,CPU Microarchitecture,53,98.15
1979,Domain Accelerators & AI,0,0.0
1979,Memory Hierarchy,0,0.0
1979,Multicore & Coherence,0,0.0
1979,Software/Compilers,0,0.0
1979,Verification/Tools,0,0.0
1979,CPU Microarchitecture,3,100.0
1980,Domain Accelerators & AI,0,0.0
1980,Memory Hierarchy,0,0.0
1980,Multicore & Coherence,0,0.0
1980,Software/Compilers,1,12.5
1980,Verification/Tools,0,0.0
1980,CPU Microarchitecture,7,87.5
1981,Domain Accelerators & AI,0,0.0
1981,Memory Hierarchy,0,0.0
1981,Multicore & Coherence,0,0.0
1981,Software/Compilers,0,0.0
1981,Verification/Tools,0,0.0
1981,CPU Microarchitecture,25,100.0
1982,Domain Accelerators & AI,1,2.7
1982,Memory Hierarchy,4,10.81
1982,Multicore & Coherence,0,0.0
1982,Software/Compilers,9,24.32
1982,Verification/Tools,0,0.0
1982,CPU Microarchitecture,23,62.16
1983,Domain Accelerators & AI,1,2.33
1983,Memory Hierarchy,0,0.0
1983,Multicore & Coherence,0,0.0
1983,Software/Compilers,0,0.0
1983,Verification/Tools,1,2.33
1983,CPU Microarchitecture,41,95.35
1984,Domain Accelerators & AI,0,0.0
1984,Memory Hierarchy,0,0.0
1984,Multicore & Coherence,0,0.0
1984,Software/Compilers,0,0.0
1984,Verification/Tools,0,0.0
1984,CPU Microarchitecture,16,100.0
1985,Domain Accelerators & AI,1,6.67
1985,Memory Hierarchy,0,0.0
1985,Multicore & Coherence,0,0.0
1985,Software/Compilers,1,6.67
1985,Verification/Tools,0,0.0
1985,CPU Microarchitecture,13,86.67
1986,Domain Accelerators & AI,1,33.33
1986,Memory Hierarchy,1,33.33
1986,Multicore & Coherence,0,0.0
1986,Software/Compilers,0,0.0
1986,Verification/Tools,0,0.0
1986,CPU Microarchitecture,1,33.33
1987,Domain Accelerators & AI,0,0.0
