series,quantity,year,value,extraction_method,source,notes
transistors,transistors_thousands,1974.33,6.09756235221,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),"Per-bucket maximum (4-year buckets, 1971-2022) of the public 50-year dataset 50yrs/*.dat at commit f2121ab2b83a156b114fe34e62e1edeca98e8e38, github.com/karlrupp/microprocessor-trend-data (CC-BY 4.0), which compiles Horowitz/Labonte/Shacham/Olukotun/Hammond/Batten data through 2010 and Rupp's additions through 2021. GPU and Xeon Phi records are excluded so that the frontiers describe CPUs; tied maxima use the later record. Fractional years are as in the dataset. Transistors are in thousands; single-thread performance is SpecINT x 1000; frequency is in MHz; CPU power is in W; logical hardware threads include SMT threads. Audited 2026-07-30."
transistors,transistors_thousands,1982.31,135.772714211,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,1985.91,273.841963426,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,1989.47,1207.90074743,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,1992.69,3105.90022362,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,1998.89,15261.3780258,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,2002.88,220673.406908,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,2006.97,582941.534714,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,2009.66,2308241.52676,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,2014.82,5700000.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
transistors,transistors_thousands,2017.5,19200000.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),CPU maximum after excluding Quadro GV100 GPU
transistors,transistors_thousands,2021.8,57000000.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),CPU maximum after excluding Radeon MI250 GPU
specint,single_thread_specint_x1000,1988.65,83.5362546958,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
specint,single_thread_specint_x1000,1994.76,598.885433492,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
specint,single_thread_specint_x1000,1998.89,3554.52235561,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
specint,single_thread_specint_x1000,2002.4,9389.79801048,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
specint,single_thread_specint_x1000,2006.97,35226.9465147,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
specint,single_thread_specint_x1000,2010.3,42000.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
specint,single_thread_specint_x1000,2014.8,66000.4,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
specint,single_thread_specint_x1000,2017.59,83600.3,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
specint,single_thread_specint_x1000,2021.3,105300.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,1974.33,2.01691455473,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,1982.31,6.09756235221,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,1985.91,16.1076153462,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,1988.65,40.3151936286,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,1994.71,296.93148482,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,1997.45,537.611747456,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,2002.4,2246.79009181,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,2004.86,3651.74127255,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,2007.74,4655.52593116,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,2012.7,3700.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,2016.67,4000.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
frequency,frequency_mhz,2020.9,3200.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,1974.33,0.922239565104,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,1982.31,3.02321302502,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,1986.25,3.02321302502,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,1988.65,3.95964498892,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,1993.03,35.2269465147,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,1998.89,90.5797775943,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,2001.68,98.2171889188,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,2003.41,155.383983127,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,2010.38,168.485487944,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_watts,cpu_power_watts,2014.5,200.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),CPU maximum after excluding Xeon Phi
cpu_watts,cpu_power_watts,2017.59,205.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),CPU maximum after excluding Xeon Phi and Quadro GV100
cpu_watts,cpu_power_watts,2021.3,290.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),CPU maximum after excluding Radeon MI250 GPU
cpu_threads,logical_hardware_threads,1971.88,1.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,1979.62,1.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,1985.91,1.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,1988.65,1.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,1992.36,1.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,1995.43,1.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,1999.18,1.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,2005.96,8.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,2010.19,16.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),
cpu_threads,logical_hardware_threads,2014.5,64.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),CPU maximum after excluding Xeon Phi
cpu_threads,logical_hardware_threads,2016.67,96.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),CPU maximum after excluding Xeon Phi
cpu_threads,logical_hardware_threads,2020.1,128.0,dataset-transcribed,Rupp microprocessor-trend-data (public CSV),Later CPU record at tied maximum after excluding Radeon MI250 GPU
