# Hardware peak throughput against realized MLPerf throughput
# PARTIALLY VERIFIABLE. The peak_tflops_bf16 column carries published vendor
#   specifications (NVIDIA V100 125, A100 312, H100 989, B200 2250).
# SOURCE NOT RECORDED for realized_relative_throughput, which is the column the
#   argument actually rests on. No submission IDs, result URLs, retained raw
#   results, or generating script accompany it.
# Status: UNVERIFIED where it matters. Record the MLPerf submissions behind the
#   realized column before citing this file as evidence.
category,chip,generation,peak_tflops_bf16,realized_relative_throughput,mlperf_version
hardware_scaling,NVIDIA V100,1,125,1.0,v0.6
hardware_scaling,NVIDIA A100,2,312,2.8,v1.0
hardware_scaling,NVIDIA H100,3,989,8.5,v3.0
hardware_scaling,NVIDIA B200,4,2250,22.0,v4.0
hardware_scaling,Google TPU v3,1,123,0.9,v0.6
hardware_scaling,Google TPU v4,2,275,2.5,v1.0
hardware_scaling,Google TPU v5e,3,197,2.1,v3.0
hardware_scaling,Google TPU v6e,4,400,4.8,v4.0
hardware_scaling,AMD MI300X,3,1300,7.9,v3.1
hardware_scaling,Intel Gaudi2,2,430,3.1,v2.0
hardware_scaling,Intel Gaudi3,3,1835,7.5,v4.0
software_dividend,NVIDIA H100,3,989,1.00,v2.1
software_dividend,NVIDIA H100,3,989,1.35,v3.0
software_dividend,NVIDIA H100,3,989,1.52,v3.1
software_dividend,NVIDIA H100,3,989,1.81,v4.0
software_dividend,NVIDIA H100,3,989,2.05,v4.1
