company,cik,segment,fiscal_year,rd_expense_usd,revenue_usd,rd_intensity_pct,form,filed_date,accession_number,source_type
AMD,0000002488,Fabless (x86/GPU),2000,647000000,4644000000,13.93,10-K,2001-03-21,0000002488-01-500010,SEC EDGAR 10-K Item 8 / Selected Financial Data
AMD,0000002488,Fabless (x86/GPU),2001,652000000,3892000000,16.75,10-K,2002-03-18,0000002488-02-000011,SEC EDGAR 10-K Item 8 / Selected Financial Data
AMD,0000002488,Fabless (x86/GPU),2002,846000000,2697000000,31.37,10-K,2003-03-24,0000002488-03-000014,SEC EDGAR 10-K Item 8 / Selected Financial Data
AMD,0000002488,Fabless (x86/GPU),2003,852000000,3519000000,24.21,10-K,2004-03-10,0000002488-04-000024,SEC EDGAR 10-K Item 8 / Selected Financial Data
AMD,0000002488,Fabless (x86/GPU),2004,933000000,5001000000,18.66,10-K,2005-03-09,0000002488-05-000028,SEC EDGAR 10-K Item 8 / Selected Financial Data
AMD,0000002488,Fabless (x86/GPU),2005,1100000000,5848000000,18.81,10-K,2006-03-07,0000002488-06-000041,SEC EDGAR 10-K Item 8 / Selected Financial Data
AMD,0000002488,Fabless (x86/GPU),2006,1202000000,5649000000,21.28,10-K,2007-02-28,0000002488-07-000016,SEC EDGAR 10-K Item 8 / Selected Financial Data
AMD,0000002488,Fabless (x86/GPU),2007,1770000000,6013000000,29.44,10-K,2008-02-26,0000002488-08-000018,SEC EDGAR 10-K Item 8 / Selected Financial Data
AMD,0000002488,Fabless (x86/GPU),2008,1848000000,,,10-K,2011-02-18,0001193125-11-040392,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2009,1721000000,,,10-K,2012-02-24,0001193125-12-075837,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2010,1405000000,6494000000,21.64,10-K,2013-02-21,0001193125-13-069422,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2011,1453000000,6568000000,22.12,10-K,2014-02-18,0001193125-14-057240,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2012,1354000000,5422000000,24.97,10-K,2015-02-19,0001193125-15-054362,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2013,1201000000,5299000000,22.66,10-K,2016-02-18,0000002488-16-000111,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2014,1072000000,5506000000,19.47,10-K,2017-02-21,0000002488-17-000043,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2015,947000000,3991000000,23.73,10-K,2018-02-27,0000002488-18-000042,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2016,1008000000,4319000000,23.34,10-K,2019-02-08,0000002488-19-000011,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2017,1196000000,5253000000,22.77,10-K,2020-02-04,0000002488-20-000008,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2018,1434000000,6475000000,22.15,10-K,2021-01-29,0001628280-21-001185,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2019,1547000000,6731000000,22.98,10-K,2022-02-03,0000002488-22-000016,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2020,1983000000,9763000000,20.31,10-K,2023-02-27,0000002488-23-000047,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2021,2845000000,16434000000,17.31,10-K,2024-01-31,0000002488-24-000012,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2022,5005000000,23601000000,21.21,10-K,2025-02-05,0000002488-25-000012,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2023,5872000000,22680000000,25.89,10-K,2026-02-04,0000002488-26-000018,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
AMD,0000002488,Fabless (x86/GPU),2024,6456000000,25785000000,25.04,10-K,2026-02-04,0000002488-26-000018,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense)
