timestamp,algorithm,seed,evaluation_step,array_height,array_width,ifmap_kb,filter_kb,ofmap_kb,dataflow,bandwidth,total_cycles,cycles_mha,cycles_conv,total_stalls,avg_utilization,pe_area,sram_area,total_area,fom_score,step_gain_pct,best_so_far_gain_pct
2026-08-22T16:46:02.509666+00:00,Random Search,0,1,24,4,32,16,32,os,16,40372,4862,35510,26040,41.72,96.0,64.0,160.0,154.81,-34.98,-34.98
2026-08-22T16:46:02.509666+00:00,Random Search,0,2,24,16,32,8,128,ws,4,26846,5734,21112,7634,31.14,384.0,134.4,518.4,71.855,-69.82,-34.98
2026-08-22T16:46:02.509666+00:00,Random Search,0,3,4,16,32,8,128,os,24,18125,5588,12537,0,83.48,64.0,134.4,198.4,278.087,16.79,16.79
2026-08-22T16:46:02.509666+00:00,Random Search,0,4,12,32,128,16,8,is,8,14329,3975,10354,2507,27.26,384.0,121.6,505.6,138.031,-42.03,16.79
2026-08-22T16:46:02.509666+00:00,Random Search,0,5,32,32,8,16,8,is,32,7381,887,6494,3105,25.47,1024.0,25.6,1049.6,129.081,-45.79,16.79
2026-08-22T16:46:02.509666+00:00,Random Search,0,6,32,12,128,128,128,is,16,11548,2454,9094,0,34.21,384.0,307.2,691.2,125.282,-47.38,16.79
2026-08-22T16:46:02.509666+00:00,Random Search,0,7,24,12,8,32,64,ws,32,7382,2722,4660,0,52.43,288.0,83.2,371.2,364.937,53.27,53.27
2026-08-22T16:46:02.509666+00:00,Random Search,0,8,16,8,32,128,32,ws,32,11237,3902,7335,0,70.95,128.0,153.6,281.6,316.022,32.73,53.27
2026-08-22T16:46:02.509666+00:00,Random Search,0,9,32,12,8,64,32,is,32,8765,2038,6727,0,34.21,384.0,83.2,467.2,244.2,2.56,53.27
2026-08-22T16:46:02.509666+00:00,Random Search,0,10,16,48,8,128,8,os,12,4600,1860,2740,32,39.87,768.0,115.2,883.2,246.141,3.38,53.27
2026-08-22T16:46:02.509666+00:00,Random Search,0,11,64,8,8,64,16,ws,12,20463,2266,18197,14009,19.91,512.0,70.4,582.4,83.909,-64.76,53.27
2026-08-22T16:46:02.509666+00:00,Random Search,0,12,12,12,32,8,16,ws,32,11038,3927,7111,0,61.77,144.0,44.8,188.8,479.852,101.53,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,13,32,24,32,64,8,ws,4,23786,3075,20711,13676,21.69,768.0,83.2,851.2,49.391,-79.26,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,14,8,16,64,128,32,ws,32,10998,3647,7351,0,75.44,128.0,179.2,307.2,295.982,24.31,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,15,12,64,64,128,32,os,24,4859,1189,3670,0,37.16,768.0,179.2,947.2,217.276,-8.75,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,16,8,16,128,8,8,ws,16,11262,3519,7743,0,75.44,128.0,115.2,243.2,365.108,53.34,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,17,4,64,256,64,16,ws,8,31838,9013,22825,15560,14.77,256.0,268.8,524.8,59.849,-74.86,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,18,12,32,8,32,64,ws,24,6114,2609,3505,0,60.5,384.0,83.2,467.2,350.084,47.03,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,19,48,4,128,32,32,ws,4,23212,8766,14446,0,42.93,192.0,153.6,345.6,124.656,-47.65,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,20,64,12,64,32,128,is,16,10032,1754,8278,0,21.15,768.0,179.2,947.2,105.238,-55.8,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,21,8,24,16,256,32,ws,32,10274,3103,7171,0,54.28,192.0,243.2,435.2,223.651,-6.07,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,22,16,12,8,64,8,is,16,11499,3055,8444,0,48.47,192.0,64.0,256.0,339.703,42.67,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,23,8,4,16,64,64,os,4,61340,11518,49822,24448,65.49,32.0,115.2,147.2,110.751,-53.49,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,24,4,48,16,8,32,is,32,14416,4479,9937,0,36.69,192.0,44.8,236.8,292.937,23.03,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,25,16,16,128,16,8,is,16,10093,2271,7822,0,49.62,256.0,121.6,377.6,262.39,10.2,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,26,32,8,64,256,16,ws,8,11669,3678,7991,0,54.18,256.0,268.8,524.8,163.295,-31.42,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,27,48,16,8,64,64,is,16,12711,2286,10425,5441,16.93,768.0,108.8,876.8,89.726,-62.32,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,28,8,4,32,32,128,os,24,33795,9812,23983,934,88.11,32.0,153.6,185.6,159.43,-33.04,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,29,16,32,128,8,64,os,12,26692,1562,25130,21310,31.94,512.0,160.0,672.0,55.751,-76.59,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,30,24,24,32,256,8,ws,8,10566,2293,8273,3273,28.75,576.0,236.8,812.8,116.441,-51.1,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,31,16,12,64,16,16,is,32,11747,2943,8804,0,48.47,192.0,76.8,268.8,316.697,33.01,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,32,64,16,32,16,16,is,4,13953,2870,11083,882,21.36,1024.0,51.2,1075.2,66.657,-72.0,101.53
