# Wilson Research Group / Siemens EDA Functional Verification Longitudinal Dataset (2002-2024)
# Primary Author: Harry Foster (Chief Scientist, Siemens EDA / Mentor Graphics)
# Sources: Biennial IC/ASIC Functional Verification Studies (DAC 2015, DVCon 2017, Siemens EDA 2020/2022/2024 Whitepapers)
study_year,avg_pct_project_time_in_verification,median_range_pct_time,mean_peak_design_engineers,mean_peak_verification_engineers,staffing_ratio_verif_to_design,first_silicon_success_pct,pct_requiring_2_plus_spins,pct_projects_behind_schedule,logic_functional_flaws_respin_pct,analog_mixed_signal_respin_pct,clocking_cdc_flaws_respin_pct,timing_defect_setup_respin_pct,firmware_hw_sw_respin_pct,sample_size_n,source_citation
2002,46.0,40-50%,N/A,N/A,N/A,39.0,61.0,68.0,N/A,N/A,N/A,N/A,N/A,201,"Collett International Research 2002 Study"
2004,48.0,40-50%,N/A,N/A,N/A,35.0,65.0,66.0,N/A,N/A,N/A,N/A,N/A,201,"Collett International Research 2004 Study"
2007,46.0,40-50%,7.80,4.80,0.62,34.0,66.0,68.0,N/A,N/A,N/A,N/A,N/A,N/A,"WRG / Mentor Graphics 2007 Study"
2010,52.0,50-60%,8.10,7.60,0.94,32.0,68.0,67.0,N/A,N/A,N/A,N/A,N/A,N/A,"WRG / Mentor Graphics 2010 Study"
2012,56.0,50-60%,8.50,8.40,0.99,33.5,66.5,67.0,52.0,24.0,32.0,24.0,14.0,527,"WRG / Mentor Graphics 2012 Study"
2014,57.0,50-60%,10.05,10.98,1.09,31.0,69.0,61.0,51.0,23.0,30.0,23.0,15.0,1886,"WRG / Mentor Graphics 2014 Study (DAC 2015)"
2016,54.5,50-60%,10.48,11.60,1.11,33.0,67.0,69.0,49.0,22.0,29.0,25.0,16.0,1738,"WRG / Mentor Graphics 2016 Study (DVCon 2017)"
2018,53.0,50-60%,10.50,11.00,1.05,26.0,74.0,66.0,47.0,28.0,26.0,26.0,16.0,N/A,"WRG / Siemens EDA 2018 Study (IEEE MTV 2018)"
2020,56.0,50-60%,10.30,11.40,1.11,32.0,68.0,68.0,53.0,41.0,28.0,25.0,18.0,1492,"WRG / Siemens EDA 2020 Study"
2022,57.0,50-60%,11.70,11.80,1.01,24.0,76.0,66.0,51.0,42.0,27.0,24.0,19.0,980,"WRG / Siemens EDA 2022 Study"
2024,58.0,50-60%,12.70,14.70,1.16,14.0,86.0,75.0,48.0,43.0,29.0,23.0,21.0,597,"WRG / Siemens EDA 2024 Study (White Paper WP-86424-D3)"
