Title,Year,Venue,Citations,DOI,Category
Title Page iii,2008,ISCA,0,10.1109/isca.2008.1,CPU Microarchitecture
Intra-disk Parallelism: An Idea Whose Time Has Come,2008,ISCA,10,10.1109/isca.2008.11,CPU Microarchitecture
Fetch-Criticality Reduction through Control Independence,2008,ISCA,7,10.1109/isca.2008.39,CPU Microarchitecture
Rerun: Exploiting Episodes for Lightweight Memory Race Recording,2008,ISCA,113,10.1109/isca.2008.26,Memory Hierarchy
iDEAL: Inter-router Dual-Function Energy and Area-Efficient Links for Network-on-Chip (NoC) Architectures,2008,ISCA,20,10.1109/isca.2008.14,Multicore & Coherence
Learning and Leveraging the Relationship between Architecture-Level Measurements and Individual User Satisfaction,2008,ISCA,25,10.1109/isca.2008.29,CPU Microarchitecture
Atomic Vector Operations on Chip Multiprocessors,2008,ISCA,22,10.1109/isca.2008.38,CPU Microarchitecture
Self-Optimizing Memory Controllers: A Reinforcement Learning Approach,2008,ISCA,213,10.1109/isca.2008.21,Memory Hierarchy
3D-Stacked Memory Architectures for Multi-core Processors,2008,ISCA,405,10.1109/isca.2008.15,Multicore & Coherence
Title Page iv - Copyright Page,2008,ISCA,0,10.1109/isca.2008.2,CPU Microarchitecture
Counting Dependence Predictors,2008,ISCA,7,10.1109/isca.2008.6,CPU Microarchitecture
Trading off Cache Capacity for Reliability to Enable Low Voltage Operation,2008,ISCA,197,10.1109/isca.2008.22,Memory Hierarchy
Improving NAND Flash Based Disk Caches,2008,ISCA,178,10.1109/isca.2008.32,Memory Hierarchy
Virtual Circuit Tree Multicasting: A Case for On-Chip Hardware Multicast Support,2008,ISCA,116,10.1109/isca.2008.12,CPU Microarchitecture
A Two-Level Load/Store Queue Based on Execution Locality,2008,ISCA,9,10.1109/isca.2008.10,CPU Microarchitecture
Flexible Hardware Acceleration for Instruction-Grain Program Monitoring,2008,ISCA,88,10.1109/isca.2008.20,CPU Microarchitecture
DeLorean: Recording and Deterministically Replaying Shared-Memory Multiprocessor Execution Ef?ciently,2008,ISCA,116,10.1109/isca.2008.36,Memory Hierarchy
"Technology-Driven, Highly-Scalable Dragonfly Topology",2008,ISCA,451,10.1109/isca.2008.19,Multicore & Coherence
ReVIVaL: A Variation-Tolerant Architecture Using Voltage Interpolation and Variable Latency,2008,ISCA,29,10.1109/isca.2008.27,CPU Microarchitecture
