release_tag,release_date,year,dialect_count,total_operations,dialect_loc
llvmorg-10.0.0,2020-03-24,2020,12,350,150000
llvmorg-11.0.0,2020-10-12,2020,18,520,220000
llvmorg-12.0.0,2021-04-14,2021,24,810,310000
llvmorg-13.0.0,2021-10-04,2021,31,1150,450000
llvmorg-14.0.0,2022-03-22,2022,38,1540,590000
llvmorg-15.0.0,2022-09-06,2022,45,2100,780000
llvmorg-16.0.0,2023-03-17,2023,52,2800,950000
llvmorg-17.0.0,2023-09-19,2023,61,3600,1200000
llvmorg-18.1.0,2024-03-06,2024,72,4500,1500000
main,2024-Current,2024,85,5800,1900000
