# Architecture 2.0: Granular Silicon Errata & Defect Archaeology Dataset
# Extraction Timestamp: 2026-08-24T09:39:07.847358+00:00
# Total Processor Families: 19
# Total Itemized Errata: 1771
# Primary Source Documents & Cryptographic Hashes (SHA256):
#   - Broadwell-EP              | 334165-007US       | SHA256: aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d | https://cdrdv2.intel.com/v1/dl/getContent/334165
#   - Skylake-SP                | 336065-017US       | SHA256: 0b4429daf3a28ba81d9da8fc739df208370f75cf2ec1588492418c181c3add1b | https://cdrdv2.intel.com/v1/dl/getContent/336065
#   - Cascade Lake              | 338848-016US       | SHA256: 49ba22ce4851f6c44245ea94e7ee3273bb447f0ba34c0238c5d71eb6e39f1940 | https://cdrdv2.intel.com/v1/dl/getContent/338848
#   - Ice Lake-SP               | 637780-008US       | SHA256: b7bdf798371941505dad79d190d90995cd20872437cddf74ef0e18591549f8d3 | https://cdrdv2.intel.com/v1/dl/getContent/637780
#   - Sapphire Rapids           | 772415-022US       | SHA256: ab8c4f13e7e0560ab91bbc08652457ce274240d1c1c906ed59cbc7e8f4039454 | https://cdrdv2.intel.com/v1/dl/getContent/772415
#   - Emerald Rapids            | 793902-008US       | SHA256: 8291e69871b384d2b7af27854fb62fd4c417fe2092cff4fa4d9e8678f6c1e33e | https://cdrdv2.intel.com/v1/dl/getContent/793902
#   - Coffee Lake               | 337346-015US       | SHA256: 454ba48aa5b74f63764e38f17c82bbc6ad2acb621304ba1b41655a1846d5e5f4 | https://cdrdv2.intel.com/v1/dl/getContent/337346
#   - Ice Lake-U / Comet Lake   | 341079-011US       | SHA256: e8b42aac9d0af23eefee822acc8442bd544f56c53070b4b91f38e029b91e753c | https://cdrdv2.intel.com/v1/dl/getContent/341079
#   - Rocket Lake               | 634808-005US       | SHA256: 7e28cacfd053acaf1ec4e007702f09e1aa449d2bc6c945908160765d439c9c33 | https://cdrdv2.intel.com/v1/dl/getContent/634808
#   - Tiger Lake                | 631123-010US       | SHA256: 9eaacfd64a426fa384034a91a73d59b5262ce2d01381d71429adfad4779f3e4f | https://cdrdv2.intel.com/v1/dl/getContent/631123
#   - Alder Lake                | 682436-037US       | SHA256: ee18ebef2274e289f20d364f2046aefdfc9d1626e89994ceebc2ab99a561d6f0 | https://cdrdv2.intel.com/v1/dl/getContent/682436
#   - Raptor Lake               | 740518-019US       | SHA256: bb06d3c89d30b12dae667bb342c0366db6efdda7e5ec8e0683678af399b4f167 | https://cdrdv2.intel.com/v1/dl/getContent/740518
#   - Meteor Lake               | 792254-009US       | SHA256: 98f4ca933df0fe632c71cc13013b1b24c4e4ee6569ab5285a5e60d2d41618804 | https://cdrdv2.intel.com/v1/dl/getContent/792254
#   - Lunar Lake                | 827538-003US       | SHA256: 26a3fc9ce5c83636d9b2c89f6dcdbac0b394dc30676fad10d9571e506b65a24b | https://cdrdv2.intel.com/v1/dl/getContent/827538
#   - Arrow Lake                | 834774-001US       | SHA256: b6426e3432838dbe19ba8abc99da0075df1c0aa688d3c599c6b6a07c72789805 | https://cdrdv2.intel.com/v1/dl/getContent/834774
#   - Zen 1 (Naples)            | 55449 Rev 1.21     | SHA256: 9345cdd3a297b317b2b02098b1b31c9fa7ec504f0ec36dd5da15ad99410e241f | https://docs.amd.com/api/khub/documents/abOrVU_gcO7ZsC3qDF4uNQ/content
#   - Zen 2 (Rome)              | 56323 Rev 1.15     | SHA256: db6c4662272e0278b1a7e89bed3d17a600b15e07f18063fb648c281e7fe2bfff | https://docs.amd.com/api/khub/documents/V2_PYRjhtUCkuQy_LbO5Zg/content
#   - Zen 4 (Genoa)             | 57926 Rev 1.09     | SHA256: 0244dcb4d3ca209782518909ca17860b455046c32b5035864398733e795c8da5 | https://docs.amd.com/api/khub/documents/aBaGVEhC_kN7n61TYp_76A/content
#   - Zen 5 (Turin)             | 58730 Rev 1.03     | SHA256: fd66fb68ffdd58fbff75ad7354622ef4e2fd64002817d2daaf4eecbd13e7105d | https://docs.amd.com/api/khub/documents/l7TodT1HuS0vIc3~4AgUvw/content
#
processor_name,vendor,launch_year,erratum_id,title,subsystem_category,symptom,workaround_type,status,source_doc_id,source_doc_url,source_doc_sha256,extraction_timestamp
Broadwell-EP,Intel,2016,BDX1,Enabling ISOCH Mode May Cause The System to Hang,Memory Hierarchy,System Hang / Deadlock,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX2,PCI BARs in the Home Agent Will Return Non-Zero Values During Enumeration,PCIe / CXL / Platform IO,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX3,PCIe* Header of a Malformed TLP Is Logged Incorrectly,PCIe / CXL / Platform IO,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX4,A Malformed TLP May Block ECRC Error Logging,PCIe / CXL / Platform IO,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX5,The System May Hang During an Intel ® QuickPath Interconnect (Intel® QPI) Slow to Fast Mode Transition,Cache Coherence / NoC,System Hang / Deadlock,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX6,Unexpected Performance Loss When Turbo Disabled,Power / DVFS / Clocking,Unexpected Exception / Crash,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX7,Exiting From Package C3 or Package C6 With DDR4-2133 May Lead to Unpredictable System Behavior,Power / DVFS / Clocking,Unexpected Exception / Crash,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX8,The System May Shut Down Unexpectedly During a Warm Reset,Memory Hierarchy,Machine Check Exception (MCE),Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX9,CAT May Not Behave as Expected,Memory Hierarchy,Unexpected Exception / Crash,Microcode Patch,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX10,"LBR, BTS, BTM May Report a Wrong Address When an Exception/ Interrupt Occurs in 64-bit Mode",Virtualization / MMU / IOMMU,Silent Data Corruption (SDC),Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX11,EFLAGS Discrepancy on Page Faults and on EPT-Induced VM Exits after a Translation Change,Virtualization / MMU / IOMMU,System Hang / Deadlock,OS / Compiler Flag,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
Broadwell-EP,Intel,2016,BDX12,MCi_Status Overflow Bit May Be Incorrectly Set on a Single Instance of a DTLB Error,Memory Hierarchy,Unexpected Exception / Crash,Doc Waiver / No Fix,No Fix Planned,334165-007US,https://cdrdv2.intel.com/v1/dl/getContent/334165,aa5667e23db98656ec0c3b46be19f7db40a1ceb8bb8479c8dee605748397017d,2026-08-24T09:39:07.847358+00:00
