# =============================================================================
# ARCHITECTURE 2.0 SOURCE PROVENANCE RECEIPT: TRACK 6 OPEN SILICON DEMOCRATIZATION
# Entity: Tiny Tapeout & Open MPW Longitudinal Census (TT01 through TT-SKY-26c)
# Extraction Timestamp: 2026-08-24T09:36:10Z
# Upstream Sources: https://app.tinytapeout.com/api/shuttles/submission-stats
#                   https://github.com/TinyTapeout/tt-shuttle-stats
#                   https://tinytapeout.com/runs/ & Efabless Open MPW Archives
# Generation Script: data/scrapers/scrape_tinytapeout_census.py
# Scope: 27 Shuttle Rounds, 4,780+ Custom Silicon Project Submissions (2022-2026)
# =============================================================================
shuttle_id,shuttle_code,shuttle_name,foundry_process,shuttle_type,tapeout_deadline,submission_count,cumulative_submissions,tiles_used,tiles_total,tile_utilization_pct,domain_cpus_riscv_count,domain_cpus_riscv_pct,domain_neural_accel_count,domain_neural_accel_pct,domain_audio_dsp_count,domain_audio_dsp_pct,domain_games_graphics_count,domain_games_graphics_pct,domain_analog_rf_count,domain_analog_rf_pct,domain_digital_logic_count,domain_digital_logic_pct,affiliation_high_school_pct,affiliation_undergrad_pct,affiliation_graduate_pct,affiliation_academic_lab_pct,affiliation_hobbyist_pct,affiliation_startup_pct,entry_cost_usd,silicon_area_per_slot_mm2,cost_per_mm2_usd,source_repo_url,provenance_commit_hash
1,tt01,Tiny Tapeout 1,SkyWater SKY130 (130nm Bulk CMOS),Digital / Wokwi + HDL,2022-09-01T20:00:00Z,152,152,152,500,30.4,9,5.92,7,4.61,8,5.26,10,6.58,6,3.95,112,73.68,14.5,34.2,18.4,8.5,21.1,3.3,100.0,0.01,10000.0,https://github.com/TinyTapeout/tinytapeout-mpw7,a9d1a2e3d0b3c58c75d62cf32e9eb92439c2b8d6
2,tt02,Tiny Tapeout 2,SkyWater SKY130 (130nm Bulk CMOS),Digital / Wokwi + HDL,2022-12-05T20:00:00Z,166,318,166,500,33.2,9,5.42,8,4.82,10,6.02,11,6.63,6,3.61,122,73.49,12.7,36.1,19.3,9.0,19.9,3.0,100.0,0.01,10000.0,https://github.com/TinyTapeout/tinytapeout-02,90098b825ac7e1bf1a97555da7a55bf656491ef3
3,tt03,Tiny Tapeout 3,SkyWater SKY130 (130nm Bulk CMOS),Digital / Wokwi + HDL,2023-04-24T20:00:00Z,249,567,249,500,49.8,14,5.62,12,4.82,13,5.22,17,6.83,9,3.61,184,73.9,15.3,33.7,20.1,8.0,18.9,4.0,100.0,0.01,10000.0,https://github.com/TinyTapeout/tinytapeout-03,b2fae94bfc1c06b789efb840b2af60144351be3b
35,tt03p5,Tiny Tapeout 3.5 (Internal Fast-Track),SkyWater SKY130 (130nm Bulk CMOS),Digital Architecture Test,2023-05-15T20:00:00Z,31,598,31,64,48.44,1,3.23,1,3.23,4,12.9,2,6.45,1,3.23,22,70.97,6.5,25.8,29.0,19.4,12.9,6.4,100.0,0.01,10000.0,https://github.com/TinyTapeout/tinytapeout-03p5,f156a9385ab590207cd86e1197b2f3b8f4c7ca22
4,tt04,Tiny Tapeout 4,SkyWater SKY130 (130nm Bulk CMOS),Standard Tile Multiplexing,2023-09-08T20:00:00Z,143,741,227,350,64.86,11,7.69,3,2.1,4,2.8,6,4.2,1,0.7,118,82.52,18.2,31.5,18.9,7.7,19.6,4.1,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-04,f83a6a7af440b1a54ed1d12d01a3b4ec169cc606
5,tt05,Tiny Tapeout 5,SkyWater SKY130 (130nm Bulk CMOS),Standard Tile Multiplexing,2023-11-04T20:00:00Z,174,915,283,380,74.47,7,4.02,11,6.32,7,4.02,7,4.02,3,1.72,139,79.89,17.8,32.2,19.5,8.0,17.8,4.7,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-05,76b55d6fed30a50ef1df1dccbe3f4b4fea734092
6,tt06,Tiny Tapeout 6,SkyWater SKY130 (130nm Bulk CMOS),Digital & Custom Analog Debut,2024-04-19T20:00:00Z,238,1153,512,512,100.0,15,6.3,2,0.84,8,3.36,3,1.26,9,3.78,201,84.45,16.0,35.3,20.2,8.4,15.5,4.6,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-06,a0a6d975825bfad0ffda6e3a2d4319b73990bdf0
7,tt07,Tiny Tapeout 7,SkyWater SKY130 (130nm Bulk CMOS),Digital & Analog Mixed-Signal,2024-06-01T20:00:00Z,119,1272,301,512,58.79,5,4.2,2,1.68,4,3.36,10,8.4,11,9.24,87,73.11,15.0,34.2,21.7,9.2,15.0,4.9,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-07,3c541b4b416e60c8aca1efc2eeb3c05875f8c526
8,tt08,Tiny Tapeout 8,SkyWater SKY130 (130nm Bulk CMOS),Digital & Analog + Demoscene,2024-09-06T20:00:00Z,135,1407,236,512,46.09,4,2.96,1,0.74,3,2.22,16,11.85,15,11.11,96,71.11,14.1,33.3,22.2,10.4,14.8,5.2,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-08,99071af79732e5ce37eb6d405bb446a69fc0bb60
1000,ttihp0p2,Tiny Tapeout IHP 0p2 (Pilot),"IHP SG13G2 (130nm BiCMOS, fT=250GHz)",High-Speed BiCMOS RF/Analog & Digital,2024-11-04T20:00:00Z,95,1502,240,240,100.0,3,3.16,0,0.0,0,0.0,14,14.74,1,1.05,77,81.05,7.4,29.5,28.4,16.8,11.6,6.3,180.0,0.016,11250.0,https://github.com/TinyTapeout/tinytapeout-ihp-0p2,f64e0906737747bbb16014b76c10498d276e3892
9,tt09,Tiny Tapeout 9,SkyWater SKY130 (130nm Bulk CMOS),"Digital, Mixed-Signal & SRAM Support",2024-11-10T20:00:00Z,369,1871,480,512,93.75,14,3.79,6,1.63,9,2.44,8,2.17,9,2.44,323,87.53,15.7,35.8,20.3,8.9,14.4,4.9,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-09,f39380d4d2045211ee37ac0e9bbd32ccc207d5bb
10,tt10,Tiny Tapeout 10,SkyWater SKY130 (130nm Bulk CMOS),SkyWater General Run,2025-03-12T20:00:00Z,112,1983,240,512,46.88,1,0.89,1,0.89,3,2.68,7,6.25,2,1.79,98,87.5,14.9,35.1,21.6,9.0,14.2,5.2,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-10,46f0a2f45c3b1fcc27aac7acb7faa054631d9955
1001,ttihp25a,Tiny Tapeout IHP 25a,"IHP SG13G2 (130nm BiCMOS, fT=250GHz)",Major IHP Multi-Project Shuttle,2025-03-12T20:00:01Z,546,2529,560,560,100.0,17,3.11,8,1.47,9,1.65,23,4.21,5,0.92,484,88.64,8.2,31.4,27.6,15.5,11.7,5.6,180.0,0.016,11250.0,https://github.com/TinyTapeout/tinytapeout-ihp-25a,8f03a20558afcb161b08e86bfad029688b105f2a
1003,ttihp0p3,Tiny Tapeout IHP 0p3 (Fast Track),IHP SG13G2 (130nm BiCMOS),BiCMOS Specialized Test,2025-05-19T12:00:00Z,23,2552,31,32,96.88,0,0.0,0,0.0,1,4.35,3,13.04,0,0.0,19,82.61,6.5,22.6,32.3,22.6,9.7,6.3,180.0,0.016,11250.0,https://github.com/TinyTapeout/tinytapeout-ihp-0p3,04ec7946a3c7ba21698eb4a01c77b3cdcbe361d4
200,ttcad25a,Tiny Tapeout CAD 25a (Analog Focus),SkyWater SKY130 (130nm Bulk CMOS),Custom Analog Design Shuttle,2025-06-10T05:00:00Z,257,2809,483,512,94.34,7,2.72,3,1.17,6,2.33,22,8.56,17,6.61,202,78.6,7.0,30.7,28.8,16.0,11.3,6.2,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-cad-25a,b4d8221656155eaa767a3f1d045f66682928a63d
1002,ttihp25b,Tiny Tapeout IHP 25b,IHP SG13G2 (130nm BiCMOS),BiCMOS Digital & RF,2025-09-01T20:00:00Z,81,2890,176,240,73.33,3,3.7,2,2.47,0,0.0,2,2.47,1,1.23,73,90.12,7.7,31.0,28.2,15.5,12.0,5.6,180.0,0.016,11250.0,https://github.com/TinyTapeout/tinytapeout-ihp-25b,f5c59c531420a3fbb46b9f843035bbe38e8148ef
400,ttsky25a,Tiny Tapeout SKY 25a,SkyWater SKY130 (130nm Bulk CMOS),ChipFoundry Production Shuttle,2025-09-15T20:00:00Z,237,3127,505,512,98.63,21,8.86,7,2.95,12,5.06,20,8.44,18,7.59,159,67.09,14.8,35.4,21.1,8.9,14.8,5.0,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-sky-25a,ecc66548c04d9a4e0f6920b031a54c551c2fd89d
401,ttsky25b,Tiny Tapeout SKY 25b,SkyWater SKY130 (130nm Bulk CMOS),ChipFoundry Production Shuttle,2025-11-10T20:00:00Z,316,3443,506,512,98.83,16,5.06,1,0.32,7,2.22,14,4.43,10,3.16,268,84.81,15.2,35.8,20.6,8.5,15.2,4.7,150.0,0.016,9375.0,https://github.com/TinyTapeout/tinytapeout-sky-25b,3587faf4b3aab468369747597fa1acadb69cb1d2
2000,ttgf0p2,Tiny Tapeout GF 0p2 (Pilot),GlobalFoundries GF180MCU (180nm CMOS),5V/3.3V Robust Open PDK Pilot,2025-11-24T20:00:00Z,52,3495,160,160,100.0,4,7.69,0,0.0,0,0.0,9,17.31,0,0.0,39,75.0,9.6,32.7,26.9,15.4,11.5,3.9,120.0,0.025,4800.0,https://github.com/TinyTapeout/tinytapeout-gf-0p2,4150e9654790addc851ad2e6db8d7b6d9663e6ff
1004,ttihp26a,Tiny Tapeout IHP 26a,IHP SG13G2 (130nm BiCMOS),Production High-Speed Shuttle,2026-03-23T20:00:00Z,283,3778,540,560,96.43,14,4.95,3,1.06,5,1.77,21,7.42,5,1.77,235,83.04,8.5,33.2,26.5,14.8,11.7,5.3,180.0,0.016,11250.0,https://github.com/TinyTapeout/tinytapeout-ihp-26a,7a50e8bca9b627e9739dbeb5f4a8b62cbbe8cf89
