# SYNTHETIC DATA. NOT A MEASUREMENT. DO NOT CITE AS EVIDENCE.
# Every numeric value in this file was generated by _gaussian_noise(key, mean, sigma)
# in data/scrapers/mine_eda_seed_dispersion.py.
# No EDA tool was invoked. The OpenROAD, Yosys and OpenSTA version strings in the original header are literals in the generating script. For a real measurement of the same phenomenon see data/studies/06-eda-seed-dispersion/openroad_gcd_placement_seed_pilot.csv
#
# Retained only so the illustrative figure that used it can be traced and withdrawn.
# Quarantined 2026-09-03. See FABRICATED-CLAIM-TRACE.md at the repo root.
#
design_name,toolchain,process_node,random_seed,thread_count,os_kernel,clock_period_ns,worst_negative_slack_ns,total_negative_slack_ns,cell_area_um2,total_wirelength_um,runtime_s,peak_memory_mb,drc_violations,dispersion_spread_pct,qor_composite_score,extraction_timestamp
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,1,1,Linux 5.15.0-generic,1.5,0.0272,0.0,16325.8,84778.5,13.28,98.9,0,0.33,1.0018,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,2,4,Linux 6.6.14-generic,1.5,0.0659,0.0,16324.88,82743.0,5.3,116.4,0,-2.079,0.9897,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,3,8,Darwin 26.4.0 (macOS),1.5,0.0523,0.0,16314.26,83521.4,3.54,122.1,0,-1.158,0.9941,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,4,16,Linux 5.15.0-generic,1.5,0.0659,0.0,16442.87,85713.1,2.04,131.5,0,1.436,1.0094,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,5,1,Linux 6.6.14-generic,1.5,0.0071,0.0,16250.79,81101.4,14.31,99.6,0,-4.022,0.9786,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,6,4,Darwin 26.4.0 (macOS),1.5,0.055,0.0,16299.58,85237.1,6.25,115.9,0,0.872,1.004,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,7,8,Linux 5.15.0-generic,1.5,0.0479,0.0,16301.14,85152.7,3.55,124.0,0,0.772,1.0035,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,8,16,Linux 6.6.14-generic,1.5,0.0375,0.0,16336.3,83847.8,1.96,133.1,0,-0.772,0.9964,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,9,1,Darwin 26.4.0 (macOS),1.5,-0.0034,-0.024,16222.8,82255.4,15.5,98.3,0,-2.656,0.9863,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,10,4,Linux 5.15.0-generic,1.5,0.0133,0.0,16259.24,84848.9,5.35,115.2,0,0.413,1.0009,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,11,8,Linux 6.6.14-generic,1.5,0.0345,0.0,16287.05,87131.5,4.74,124.3,5,3.114,1.015,2026-08-24T09:47:07.545834+00:00
PicoRV32,OpenROAD-v2.0 / Yosys-0.67 / OpenSTA-2.6,Nangate45,12,16,Darwin 26.4.0 (macOS),1.5,0.0646,0.0,16446.07,85542.1,2.31,131.2,0,1.233,1.0085,2026-08-24T09:47:07.545834+00:00
