DesignName,DesignDomain,DesignDescription,TopModule,SeedIndex,PassSequence,PassLength,ChipArea_um2,SequentialArea_um2,CombinationalArea_um2,SequentialAreaPct,TotalCellCount,WireCount,PeakMemory_MB,WallClockTime_s,UserTime_s,SystemTime_s,ExitCode,Timestamp,Provenance_Tool,Provenance_Library,Provenance_Platform,Provenance_Processor
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,1,strash; refactor; rewrite -z; resub; balance; resub; refactor -z; balance; map,6,16343.5720,7076.9300,9266.6420,43.30,878,8113,91.69,3.4108,1.1000,0.0500,0,2026-08-22T18:08:01.140732,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,2,strash; resub; refactor; fraig; rewrite -z; refactor -z; rewrite; balance; map,6,16310.8540,7076.9300,9233.9240,43.39,878,8113,85.95,3.3777,1.2000,0.0500,0,2026-08-22T18:08:04.550629,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,3,strash; dc2; refactor; dc2; resub; fraig; dc2; balance; map,6,15820.8820,7076.9300,8743.9520,44.73,878,8113,92.42,5.2189,1.1900,0.0600,0,2026-08-22T18:08:09.779563,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,4,strash; balance; fraig; rewrite -z; rewrite -z; balance; resub -z; balance; map,6,16184.5040,7076.9300,9107.5740,43.73,878,8113,74.02,3.6334,1.3500,0.0600,0,2026-08-22T18:08:13.420153,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,5,strash; refactor; fraig; balance; rewrite -z; rewrite; dc2; balance; map,6,15916.9080,7076.9300,8839.9780,44.46,878,8113,94.55,3.5374,1.2200,0.0500,0,2026-08-22T18:08:16.964484,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,6,strash; rewrite -z; balance; fraig; dc2; refactor; rewrite; balance; map,6,16035.2780,7076.9300,8958.3480,44.13,878,8113,74.42,3.8613,1.1200,0.0800,0,2026-08-22T18:08:20.832826,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,7,strash; balance; resub; refactor; balance; refactor -z; resub; balance; map,6,16290.1060,7076.9300,9213.1760,43.44,878,8113,80.44,2.8832,1.0800,0.0500,0,2026-08-22T18:08:23.723695,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,8,strash; resub; resub -z; refactor; dc2; dc2; refactor -z; balance; map,6,16091.1380,7076.9300,9014.2080,43.98,878,8113,92.38,4.4278,1.0500,0.0500,0,2026-08-22T18:08:28.162724,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,9,strash; refactor -z; refactor -z; resub; dc2; balance; fraig; balance; map,6,16122.2600,7076.9300,9045.3300,43.90,878,8113,75.17,4.2964,1.1100,0.0700,0,2026-08-22T18:08:32.468301,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,10,strash; resub; resub -z; refactor; resub; resub -z; refactor -z; balance; map,6,16304.7360,7076.9300,9227.8060,43.40,878,8113,95.00,3.4381,1.2100,0.0600,0,2026-08-22T18:08:35.913662,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,11,strash; dc2; refactor -z; rewrite -z; refactor; refactor; balance; balance; map,6,16025.9680,7076.9300,8949.0380,44.16,878,8113,99.75,4.2573,1.3100,0.0700,0,2026-08-22T18:08:40.180125,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,12,strash; rewrite -z; resub; refactor -z; fraig; dc2; fraig; balance; map,6,16065.6020,7076.9300,8988.6720,44.05,878,8113,96.84,4.6660,1.4000,0.0600,0,2026-08-22T18:08:44.854640,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,13,strash; resub; balance; balance; rewrite; balance; resub -z; balance; map,6,16423.6380,7076.9300,9346.7080,43.09,878,8113,94.91,3.4596,1.2700,0.0500,0,2026-08-22T18:08:48.322212,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,14,strash; resub; dc2; dc2; rewrite; refactor; rewrite; balance; map,6,15898.2880,7076.9300,8821.3580,44.51,878,8113,79.06,4.9629,1.2100,0.0700,0,2026-08-22T18:08:53.293045,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,15,strash; resub; balance; resub -z; dc2; refactor; resub -z; balance; map,6,15958.1380,7076.9300,8881.2080,44.35,878,8113,98.11,4.1020,1.3300,0.0600,0,2026-08-22T18:08:57.402568,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,16,strash; resub -z; resub -z; rewrite -z; dc2; fraig; fraig; balance; map,6,15935.5280,7076.9300,8858.5980,44.41,878,8113,80.17,3.9269,1.0800,0.0500,0,2026-08-22T18:09:01.336737,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,17,strash; rewrite -z; dc2; fraig; rewrite; rewrite; refactor; balance; map,6,15921.1640,7076.9300,8844.2340,44.45,878,8113,78.25,4.0345,1.1600,0.0700,0,2026-08-22T18:09:05.378943,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
picorv32,RISC-V CPU Core,RV32IMC Integer Core (YosysHQ),picorv32,18,strash; dc2; rewrite -z; rewrite -z; resub -z; rewrite; resub -z; balance; map,6,15959.2020,7076.9300,8882.2720,44.34,878,8113,92.30,3.5272,1.0600,0.0400,0,2026-08-22T18:09:08.913421,Yosys 0.67+post (git sha1 b8e7da6f40ae8f552c116bf6c359b07c6533e159),NangateOpenCellLibrary_typical.lib (45nm OpenROAD),macOS-26.4-arm64-arm-64bit-Mach-O,arm
