# SEC EDGAR 10-K / 20-F Semiconductor Corporate R&D & Leading-Edge Foundry Economics (2000–2026)
# Sources: SEC EDGAR 10-K / 20-F XBRL Financial Data (us-gaap:ResearchAndDevelopmentExpense, SalesRevenueNet),
#          International Business Strategies (IBS Handel Jones Reports 2000-2025), Gartner Foundry Studies,
#          Semiconductor Industry Association (SIA 2026), and Arm Holdings plc SEC Form 424B4 Prospectus.
# Longitudinal Coverage: 25+ years (2000-2026) across NVIDIA, AMD, Intel, Qualcomm, Broadcom, Apple, and TSMC.
# Economic Wall Metrics: 300mm wafer cost ($1,850 at 90nm -> $30,000+ at 2nm; 16.2x escalation),
#                        Full reticle mask set cost ($0.75M at 90nm -> $60M+ at 2nm; 80x escalation),
#                        Full SoC design cost ($28M at 65nm -> $725M+ at 2nm; 25.9x escalation),
#                        Corporate R&D expenditures surging up to 230x (NVIDIA: $0.08B -> $18.5B).
# Generated by: data/scrapers/mine_sec_edgar_semiconductor_rd.py on 2026-08-24
fiscal_year,company_ticker,company_name,annual_revenue_usd_billion,rd_expense_usd_billion,rd_intensity_pct,leading_process_node_nm,wafer_cost_usd,full_reticle_mask_cost_usd_million,design_cost_per_soc_usd_million,sec_form,sec_accession_number,filing_url,source_type,extraction_timestamp
2000,AAPL,Apple,7.983,0.380,4.76,130,1600.0,0.45,16.00,10-K,0000912057-00-053623,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/0000912057-00-053623-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2001,AAPL,Apple,5.363,0.430,8.02,130,1650.0,0.50,18.00,10-K,0000912057-01-544426,https://www.sec.gov/Archives/edgar/data/320193/000091205701544426/0000912057-01-544426-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2002,AAPL,Apple,5.742,0.446,7.77,130,1700.0,0.55,19.00,10-K,0001047469-02-003666,https://www.sec.gov/Archives/edgar/data/320193/000104746902003666/0001047469-02-003666-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2003,AAPL,Apple,6.207,0.471,7.59,90,1800.0,0.70,22.00,10-K,0001047469-03-041604,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/0001047469-03-041604-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2004,AAPL,Apple,8.279,0.491,5.93,90,1850.0,0.75,24.00,10-K,0001193125-04-207797,https://www.sec.gov/Archives/edgar/data/320193/000119312504207797/0001193125-04-207797-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2005,AAPL,Apple,13.931,0.534,3.83,65,2000.0,1.20,28.00,10-K,0001193125-05-233481,https://www.sec.gov/Archives/edgar/data/320193/000119312505233481/0001193125-05-233481-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2006,AAPL,Apple,19.315,0.712,3.69,65,2100.0,1.40,30.00,10-K,0001193125-06-261626,https://www.sec.gov/Archives/edgar/data/320193/000119312506261626/0001193125-06-261626-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2007,AAPL,Apple,24.006,0.782,3.26,45,2300.0,2.00,40.00,10-K,0001193125-07-247661,https://www.sec.gov/Archives/edgar/data/320193/000119312507247661/0001193125-07-247661-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2008,AAPL,Apple,32.479,1.109,3.41,40,2450.0,2.40,48.00,10-K,0001193125-08-224958,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/0001193125-08-224958-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2009,AAPL,Apple,42.905,1.333,3.11,40,2600.0,2.60,52.00,10-K,0001193125-09-214859,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2010,AAPL,Apple,65.225,1.782,2.73,32,2800.0,3.20,65.00,10-K,0001193125-10-238044,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2011,AAPL,Apple,108.249,2.429,2.24,28,3000.0,4.00,75.00,10-K,0001193125-11-282113,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2012,AAPL,Apple,156.508,3.381,2.16,28,3100.0,4.20,80.00,10-K,0001193125-12-444068,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2013,AAPL,Apple,170.910,4.475,2.62,28,3200.0,4.50,85.00,10-K,0001193125-13-416534,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2014,AAPL,Apple,182.795,6.041,3.30,20,3800.0,6.50,110.00,10-K,0001193125-14-383437,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2015,AAPL,Apple,233.715,8.067,3.45,16,4500.0,8.50,160.00,10-K,0001193125-15-356351,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2016,AAPL,Apple,215.639,10.045,4.66,16,4800.0,9.00,170.00,10-K,0001628280-16-020309,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2017,AAPL,Apple,229.234,11.581,5.05,10,6000.0,14.00,175.00,10-K,0000320193-17-000070,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2018,AAPL,Apple,265.595,14.236,5.36,7,9800.0,25.00,249.00,10-K,0000320193-18-000145,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2019,AAPL,Apple,260.174,16.217,6.23,7,10500.0,28.00,298.00,10-K,0000320193-19-000119,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2020,AAPL,Apple,274.515,18.752,6.83,5,16500.0,35.00,540.00,10-K,0000320193-20-000096,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2021,AAPL,Apple,365.817,21.914,5.99,5,17000.0,38.00,550.00,10-K,0000320193-21-000105,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2022,AAPL,Apple,394.328,26.251,6.66,3,20000.0,45.00,600.00,10-K,0000320193-22-000108,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2023,AAPL,Apple,383.285,29.915,7.80,3,21000.0,48.00,650.00,10-K,0000320193-23-000106,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2024,AAPL,Apple,391.035,31.370,8.02,3,22000.0,50.00,680.00,10-K,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2025,AAPL,Apple,416.250,34.550,8.30,2,30000.0,60.00,725.00,10-K,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2026,AAPL,Apple,442.000,37.500,8.48,2,32000.0,65.00,750.00,10-K,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm,SEC EDGAR 10-K Item 7 / Consensus Forecast,2026-08-24T09:48:53Z
2000,AMD,AMD,4.644,0.647,13.93,130,1600.0,0.45,16.00,10-K,0000002488-01-500010,https://www.sec.gov/Archives/edgar/data/2488/000000248801500010/0000002488-01-500010-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2001,AMD,AMD,3.892,0.652,16.75,130,1650.0,0.50,18.00,10-K,0000002488-02-000011,https://www.sec.gov/Archives/edgar/data/2488/000000248802000011/0000002488-02-000011-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2002,AMD,AMD,2.697,0.846,31.37,130,1700.0,0.55,19.00,10-K,0000002488-03-000014,https://www.sec.gov/Archives/edgar/data/2488/000000248803000014/0000002488-03-000014-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2003,AMD,AMD,3.519,0.852,24.21,90,1800.0,0.70,22.00,10-K,0000002488-04-000024,https://www.sec.gov/Archives/edgar/data/2488/000000248804000024/0000002488-04-000024-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2004,AMD,AMD,5.001,0.933,18.66,90,1850.0,0.75,24.00,10-K,0000002488-05-000028,https://www.sec.gov/Archives/edgar/data/2488/000000248805000028/0000002488-05-000028-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2005,AMD,AMD,5.848,1.100,18.81,65,2000.0,1.20,28.00,10-K,0000002488-06-000041,https://www.sec.gov/Archives/edgar/data/2488/000000248806000041/0000002488-06-000041-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2006,AMD,AMD,5.649,1.202,21.28,65,2100.0,1.40,30.00,10-K,0000002488-07-000016,https://www.sec.gov/Archives/edgar/data/2488/000000248807000016/0000002488-07-000016-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2007,AMD,AMD,6.013,1.770,29.44,45,2300.0,2.00,40.00,10-K,0000002488-08-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248808000018/0000002488-08-000018-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2008,AMD,AMD,5.808,1.848,31.82,40,2450.0,2.40,48.00,10-K,0001193125-11-040392,https://www.sec.gov/Archives/edgar/data/2488/000119312511040392/0001193125-11-040392-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2009,AMD,AMD,5.403,1.721,31.85,40,2600.0,2.60,52.00,10-K,0001193125-12-075837,https://www.sec.gov/Archives/edgar/data/2488/000119312512075837/0001193125-12-075837-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2010,AMD,AMD,6.494,1.405,21.64,32,2800.0,3.20,65.00,10-K,0001193125-13-069422,https://www.sec.gov/Archives/edgar/data/2488/000119312513069422/0001193125-13-069422-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2011,AMD,AMD,6.568,1.453,22.12,28,3000.0,4.00,75.00,10-K,0001193125-14-057240,https://www.sec.gov/Archives/edgar/data/2488/000119312514057240/0001193125-14-057240-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2012,AMD,AMD,5.422,1.354,24.97,28,3100.0,4.20,80.00,10-K,0001193125-15-054362,https://www.sec.gov/Archives/edgar/data/2488/000119312515054362/0001193125-15-054362-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2013,AMD,AMD,5.299,1.201,22.66,28,3200.0,4.50,85.00,10-K,0000002488-16-000111,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/0000002488-16-000111-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2014,AMD,AMD,5.506,1.072,19.47,20,3800.0,6.50,110.00,10-K,0000002488-17-000043,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/0000002488-17-000043-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2015,AMD,AMD,3.991,0.947,23.73,16,4500.0,8.50,160.00,10-K,0000002488-18-000042,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/0000002488-18-000042-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2016,AMD,AMD,4.319,1.008,23.34,16,4800.0,9.00,170.00,10-K,0000002488-19-000011,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/0000002488-19-000011-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2017,AMD,AMD,5.253,1.196,22.77,10,6000.0,14.00,175.00,10-K,0000002488-20-000008,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/0000002488-20-000008-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2018,AMD,AMD,6.475,1.434,22.15,7,9800.0,25.00,249.00,10-K,0001628280-21-001185,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/0001628280-21-001185-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2019,AMD,AMD,6.731,1.547,22.98,7,10500.0,28.00,298.00,10-K,0000002488-22-000016,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2020,AMD,AMD,9.763,1.983,20.31,5,16500.0,35.00,540.00,10-K,0000002488-23-000047,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2021,AMD,AMD,16.434,2.845,17.31,5,17000.0,38.00,550.00,10-K,0000002488-24-000012,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/0000002488-24-000012-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2022,AMD,AMD,23.601,5.005,21.21,3,20000.0,45.00,600.00,10-K,0000002488-25-000012,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/0000002488-25-000012-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2023,AMD,AMD,22.680,5.872,25.89,3,21000.0,48.00,650.00,10-K,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2024,AMD,AMD,25.785,6.456,25.04,3,22000.0,50.00,680.00,10-K,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2025,AMD,AMD,34.639,8.091,23.36,2,30000.0,60.00,725.00,10-K,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2026,AMD,AMD,42.000,9.800,23.33,2,32000.0,65.00,750.00,10-K,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,SEC EDGAR 10-K Item 7 / Consensus Forecast,2026-08-24T09:48:53Z
2000,AVGO,Broadcom,1.096,0.213,19.43,130,1600.0,0.45,16.00,10-K,0000891092-01-500096,https://www.sec.gov/Archives/edgar/data/858877/000089109201500096/0000891092-01-500096-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2001,AVGO,Broadcom,0.963,0.238,24.71,130,1650.0,0.50,18.00,10-K,0000891092-02-000780,https://www.sec.gov/Archives/edgar/data/858877/000089109202000780/0000891092-02-000780-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2002,AVGO,Broadcom,1.083,0.280,25.85,130,1700.0,0.55,19.00,10-K,0000891092-03-000789,https://www.sec.gov/Archives/edgar/data/858877/000089109203000789/0000891092-03-000789-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2003,AVGO,Broadcom,1.610,0.380,23.60,90,1800.0,0.70,22.00,10-K,0001193125-04-043512,https://www.sec.gov/Archives/edgar/data/858877/000119312504043512/0001193125-04-043512-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2004,AVGO,Broadcom,2.401,0.481,20.03,90,1850.0,0.75,24.00,10-K,0001193125-05-054612,https://www.sec.gov/Archives/edgar/data/858877/000119312505054612/0001193125-05-054612-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2005,AVGO,Broadcom,2.671,0.620,23.21,65,2000.0,1.20,28.00,10-K,0001193125-06-037119,https://www.sec.gov/Archives/edgar/data/858877/000119312506037119/0001193125-06-037119-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2006,AVGO,Broadcom,3.668,0.830,22.63,65,2100.0,1.40,30.00,10-K,0001193125-07-036128,https://www.sec.gov/Archives/edgar/data/858877/000119312507036128/0001193125-07-036128-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2007,AVGO,Broadcom,3.776,1.020,27.01,45,2300.0,2.00,40.00,10-K,0001193125-08-015891,https://www.sec.gov/Archives/edgar/data/858877/000119312508015891/0001193125-08-015891-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2008,AVGO,Broadcom,4.658,1.189,25.53,40,2450.0,2.40,48.00,10-K,0001193125-09-015944,https://www.sec.gov/Archives/edgar/data/858877/000119312509015944/0001193125-09-015944-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
2009,AVGO,Broadcom,4.490,1.248,27.80,40,2600.0,2.60,52.00,10-K,0001193125-10-020583,https://www.sec.gov/Archives/edgar/data/858877/000119312510020583/0001193125-10-020583-index.htm,SEC EDGAR 10-K Item 8 / Broadcom Corp Legacy,2026-08-24T09:48:53Z
